Villeneuve-l'Archeveque: 394.874952; 5354.077785!
Les Sellieres: 521.531835; 5379.654849!
Ecots: 2.653788; 5437.309692!
Juziers: 205.084044; 5438.042403!
Royer: 535.455564; 5167.683921!
Jeufosse: 171.517977; 5442.95271!
Tannay: 398.609547; 5257.860654!
Plusquellec: -386.649963; 5370.549963!
Kervassal: -365.759319; 5297.944086!
Calleville-les-Deux-Eglises: 113.523585; 5517.373548!
Meuzac: 159.675276; 5056.275441!
Grandprat: 225.266952; 5127.581286!
Kerforn: -376.089756; 5300.573565!
Dizy: 440.300037; 5446.400037!
Ombleze: 579.301563; 4979.85627!
Carentoir: -236.799963; 5307.650037!
La Pyramide: -53.649963; 5265.099963!
Moncontour: -292.214826; 5367.934692!
Le Faucard: 277.901487; 5242.498476!
Rambluzin-et-Benoite-Vaux: 592.167462; 5438.734266!
Alos: 208.305375; 4886.64624!
Chatelblanc: 678.890874; 5180.681022!
Montvernier: 704.021163; 5030.587266!
Saint-Gor: -26.678739; 4890.124314!
Pourra: 560.55; 5024.600037!
La Cassiere: 332.58819; 5071.703331!
Saint-Jacques-d'Ambur: 308.225577; 5095.101354!
Les Bouchiers: 570.487053; 4991.45133!
Pont-Aven: -416.25; 5311.35!
Cite-des-Pins: 23.424996; 5324.150853!
Perricard: 108.42258; 4934.517987!
La Prealle: 240.288693; 5181.871053!
Condeissiat: 563.859909; 5123.531562!
La Loge-Pomblin: 447.673545; 5334.070923!
Jonzieux: 484.00551; 5030.056242!
La Neuveville-sous-Montfort: 668.075589; 5352.976332!
Gonneville-sur-Scie: 119.158278; 5522.971944!
Nogent-sur-Vernisson: 304.435815; 5310.909219!
Communailles-en-Montagne: 677.056155; 5194.830969!
Lozanne: 520.138896; 5090.006454!
Loex: 699.588045; 5124.296019!
Saint-Julien-du-Terroux: -45.368697; 5381.058444!
Pont de Joux: 622.912131; 4813.392456!
Sauve-Boeuf: 86.201601; 4978.06695!
Bourgogne: 566.873337; 5431.861812!
Grignols: 59.898042; 5004.19413!
Vonnas: 554.06871; 5130.272703!
Eus: 272.63265; 4733.336481!
Rouziers-de-Touraine: 71.981058; 5274.4092!
Port du Gravier: 110.827062; 5473.737783!
Mogues: 586.067568; 5511.341808!
Mercury-Gemilly: 702.999963; 5069.000037!
Unsac: 356.462847; 5040.374913!
Sepmes: 74.722647; 5224.550553!
Bazus-Neste: 42.200091; 4776.909864!
Lussaud: 341.284596; 5027.999967!
Enchanet: 244.637451; 5004.868011!
Gaillagos: -20.349963; 4771.150074!
Xanton-Chassenon: -77.171751; 5156.319852!
Montcheny: 702.999963; 4959.849963!
Epiven: 26.960124; 5515.526841!
Montchenu: 558.538125; 5016.801066!
Metzing: 772.363086; 5450.722155!
Le Sourd: 415.858503; 5534.421039!
Saint-Thelo: -316.813425; 5353.341855!
Saint-Lary-Soulan: 36.005736; 4752.901563!
Gerbecourt-et-Haplemont: 683.975673; 5382.375348!
Porquerolles: 688.49415; 4773.128649!
Saint-Marcory: 103.447227; 4964.242344!
Lilaudiere: 121.141293; 5359.507461!
La Racineuse: 571.902303; 5198.75382!
Peyriere: 35.170683; 4947.827109!
La Bazouges-du-Desert: -122.659329; 5377.148913!
Pargny-sur-Saulx: 536.971824; 5413.32126!
Ecquetot: 111.985569; 5457.832482!
Ploeuc: -305.96484; 5366.554185!
Chalabre: 222.597069; 4771.055391!
Saulny: 677.652891; 5456.576961!
Lesvenan: -450.614268; 5392.481898!
Saint-Amancet: 233.367177; 4824.679824!
Norroy-le-Sec: 645.032877; 5470.021503!
Ricquebourg: 305.940198; 5501.153451!
Vendeuil: 372.089427; 5518.409178!
Vinets: 470.513793; 5387.210619!
Viuz-en-Sallaz: 711.495015; 5122.157382!
Bellecombe-Tarendol: 593.978871; 4923.117177!
Pierre-Lay: 260.205534; 5225.996439!
Pinito: 966.983382; 4696.95057!
Corqueux: 261.852219; 5203.214244!
Le Sablon: 33.3; 5348.349963!
Saint-Germain-Laval: 332.757021; 5372.364924!
La Buzatiere: 81.68601; 5078.165085!
Frontenard: 572.494266; 5207.348439!
Saint-Germain-en-Brionnais: 473.407452; 5145.332073!
Le Sablou: 80.229579; 5044.916145!
Rivers-Derriere: 767.416815; 5020.934706!
Javene: -135.009744; 5363.445519!
Le Poicon: 109.149963; 5538.9!
Saint-Eutrope: 57.764844; 4934.343162!
Muneville-le-Bingard: -164.266125; 5452.39215!
Saint-Thomas-la-Chaussee: 107.300037; 5494.5!
Avezac-Prat: 37.396566; 4780.446546!
Vieux Saint-Marc: -493.95; 5372.4!
Mehoudin: -42.691932; 5383.594683!
Ballersdorf: 794.916288; 5286.278763!
L'Echarenne: 646.286622; 4979.12256!
Bertaucourt-Epourdon: 375.708471; 5508.229146!
La Benissons-Dieu: 449.034405; 5122.80429!
Saint-Martin-du-Boschet: 380.545962; 5409.681681!
Riffin: 203.872368; 5502.325611!
Neslette: 185.000037; 5540.750037!
Mussy-sur-Seine: 499.214397; 5325.547566!
Les Monseaux: 232.486059; 5129.519235!
Repenti: 702.025383; 4812.063786!
Mesgrigny: 431.004897; 5381.993064!
Montaimont: 704.304546; 5036.3031!
Martignas-sur-Jalle: -86.646378; 4977.825969!
Baisieux: 361.028388; 5617.533843!
Sarrancolin: 42.130494; 4769.568546!
Chateau-Gontier: -77.729748; 5308.875921!
Auxange: 627.128244; 5236.233081!
Sainte-Eusoye: 249.203325; 5503.21794!
Les Adrets-de-Frejus: 758.499963; 4830.350037!
Montplonne: 573.942705; 5404.663593!
La Marsalouse: 266.4; 5063.450037!
Saint-Nicodeme: -370.537869; 5365.992747!
Beauthoville: 196.586328; 5440.588188!
Grand Drevez: -479.150037; 5326.149963!
Courerie: 609.312744; 5044.330065!
Thel: 485.76264; 5118.915849!
Forcalquier: 641.667468; 4879.539132!
Busigny: 384.85143; 5553.800862!
Neuilly-le-Malherbe: -59.649513; 5449.839705!
